FoodID,MeasureID,MeasureDescription,MeasureDescriptionF,ConversionFactorValue
2,341,100ml,100ml,0.40152
2,383,125ml,125ml,0.50190
2,415,250ml,250ml,1.00380
4,341,100ml,100ml,0.92984
4,383,125ml,125ml,1.16230
4,415,250ml,250ml,2.32460
5,341,100ml,100ml,0.92989
5,383,125ml,125ml,1.16236
5,415,250ml,250ml,2.32472
5,502462,1 order,1 commande,6.04000
6,108,1 fritter,1 beignet,0.35000
6,341,100ml,100ml,0.45224
6,383,125ml,125ml,0.56530
6,415,250ml,250ml,1.13060
6,1461,55g,55g,0.55000
7,1457,140g,140g,1.40000
8,1457,140g,140g,1.40000
9,1607,195g,195g,1.95000
10,1457,140g,140g,1.40000
13,341,100ml,100ml,1.01437
13,383,125ml,125ml,1.26789
13,385,15ml,15ml,0.15101
13,439,5ml,5ml,0.05068
14,341,100ml,100ml,1.01437
14,383,125ml,125ml,1.26796
14,385,15ml,15ml,0.15101
14,439,5ml,5ml,0.05068
16,341,100ml,100ml,0.63824
16,385,15ml,15ml,0.09574
16,439,5ml,5ml,0.03190
16,966,1 pat (2.54cm x 2.54cm x 0.85cm),1 carré (2.54cm x 2.54cm x 0.85cm),0.03800
16,1573,10g,10g,0.10000
17,341,100ml,100ml,0.86649
17,385,15ml,15ml,0.12973
17,439,5ml,5ml,0.04324
17,1573,10g,10g,0.10000
18,344,100ml crumbled,100ml émietté,0.57058
18,975,250ml crumbled,250ml émietté,1.42646
18,990,50g,50g,0.50000
18,1454,30g,30g,0.30000
19,348,100ml diced,100ml en dés,0.55790
19,368,100ml shredded,100ml filamenté,0.47760
19,976,250ml diced,250ml en dés,1.39476
19,977,250ml shredded,250ml filamenté,1.19399
19,990,50g,50g,0.50000
19,1454,30g,30g,0.30000
20,358,100ml melted,100ml fondu,1.01442
20,371,100ml slices,100ml tranches,0.60862
20,978,250ml melted,250ml fondu,2.53605
20,979,250ml slices,250ml tranches,1.52156
20,990,50g,50g,0.50000
20,1454,30g,30g,0.30000
21,341,100ml,100ml,1.03970
21,415,250ml,250ml,2.59932
21,990,50g,50g,0.50000
21,1454,30g,30g,0.30000
22,348,100ml diced,100ml en dés,0.55790
22,368,100ml shredded,100ml filamenté,0.47760
22,990,50g,50g,0.50000
22,1454,30g,30g,0.30000
23,348,100ml diced,100ml en dés,0.55790
23,368,100ml shredded,100ml filamenté,0.47760
23,990,50g,50g,0.50000
23,1454,30g,30g,0.30000
24,348,100ml diced,100ml en dés,0.55790
24,368,100ml shredded,100ml filamenté,0.47760
24,976,250ml diced,250ml en dés,1.39476
24,977,250ml shredded,250ml filamenté,1.19399
24,990,50g,50g,0.50000
24,1454,30g,30g,0.30000
25,355,100ml large curd,100ml gros caillé,0.88757
25,619,100ml small curd,100ml petit caillé,0.95097
25,972,125ml large curd,125ml gros caillé,1.10947
25,973,125ml small curd,125ml petit caillé,1.18872
25,981,250ml large curd,250ml gros caillé,2.21893
25,982,250ml small curd,250ml petit caillé,2.37743
25,1489,125g,125g,1.25000
26,376,100ml unpacked,100ml non pressé,0.95520
26,974,125ml unpacked,125ml non pressé,1.19399
26,983,250ml unpacked,250ml non pressé,2.38799
26,1489,125g,125g,1.25000
27,376,100ml unpacked,100ml non pressé,0.61285
27,974,125ml unpacked,125ml non pressé,0.76606
27,983,250ml unpacked,250ml non pressé,1.53212
27,1489,125g,125g,1.25000
28,341,100ml,100ml,0.97973
28,385,15ml,15ml,0.14696
28,415,250ml,250ml,2.45150
28,428,30ml,30ml,0.29392
28,990,50g,50g,0.50000
28,1454,30g,30g,0.30000
29,348,100ml diced,100ml en dés,0.55790
29,990,50g,50g,0.50000
29,994,"250ml, diced","250ml, en dés",1.39475
29,1454,30g,30g,0.30000
30,348,100ml diced,100ml en dés,0.55790
30,368,100ml shredded,100ml filamenté,0.45647
30,976,250ml diced,250ml en dés,1.39476
30,977,250ml shredded,250ml filamenté,1.14117
30,990,50g,50g,0.50000
30,1454,30g,30g,0.30000
31,348,100ml diced,100ml en dés,0.55790
31,415,250ml,250ml,1.39475
31,990,50g,50g,0.50000
31,1454,30g,30g,0.30000
32,348,100ml diced,100ml en dés,0.55790
32,368,100ml shredded,100ml filamenté,0.45647
32,976,250ml diced,250ml en dés,1.39476
32,977,250ml shredded,250ml filamenté,1.14117
32,990,50g,50g,0.50000
32,1454,30g,30g,0.30000
33,341,100ml,100ml,0.56636
33,415,250ml,250ml,1.41589
33,990,50g,50g,0.50000
33,1454,30g,30g,0.30000
34,348,100ml diced,100ml en dés,0.55790
34,368,100ml shredded,100ml filamenté,0.47760
34,976,250ml diced,250ml en dés,1.39476
34,977,250ml shredded,250ml filamenté,1.14117
34,990,50g,50g,0.50000
34,1454,30g,30g,0.30000
35,368,100ml shredded,100ml filamenté,0.47337
35,977,250ml shredded,250ml filamenté,1.18343
35,990,50g,50g,0.50000
35,1454,30g,30g,0.30000
37,348,100ml diced,100ml en dés,0.55790
37,368,100ml shredded,100ml filamenté,0.47760
37,976,250ml diced,250ml en dés,1.39476
37,977,250ml shredded,250ml filamenté,1.14117
37,990,50g,50g,0.50000
37,1454,30g,30g,0.30000
38,341,100ml,100ml,1.01440
38,385,15ml,15ml,0.15216
38,990,50g,50g,0.50000
38,1454,30g,30g,0.30000
39,353,100ml grated,100ml râpé,0.42265
39,385,15ml,15ml,0.06340
39,415,250ml,250ml,1.05664
39,990,50g,50g,0.50000
39,1467,15g,15g,0.15000
40,341,100ml,100ml,0.42270
40,385,15ml,15ml,0.05068
40,990,50g,50g,0.50000
40,1467,15g,15g,0.15000
41,348,100ml diced,100ml en dés,0.55790
41,368,100ml shredded,100ml filamenté,0.47760
41,976,250ml diced,250ml en dés,1.39476
41,977,250ml shredded,250ml filamenté,1.14117
41,990,50g,50g,0.50000
41,1454,30g,30g,0.30000
42,245,1 slice,1 tranche,0.28000
42,348,100ml diced,100ml en dés,0.55790
42,976,250ml diced,250ml en dés,1.39476
42,990,50g,50g,0.50000
42,1454,30g,30g,0.30000
43,341,100ml,100ml,1.04820
43,383,125ml,125ml,1.31029
43,415,250ml,250ml,2.62059
43,1455,100g,100g,1.00000
44,341,100ml,100ml,1.03973
44,383,125ml,125ml,1.31023
44,415,250ml,250ml,2.59932
44,1455,100g,100g,1.00000
45,353,100ml grated,100ml râpé,0.42265
45,385,15ml,15ml,0.06340
45,415,250ml,250ml,1.05663
45,990,50g,50g,0.50000
45,1467,15g,15g,0.15000
46,344,100ml crumbled,100ml émietté,0.57058
46,415,250ml,250ml,1.42645
46,990,50g,50g,0.50000
46,1454,30g,30g,0.30000
47,348,100ml diced,100ml en dés,0.55790
47,368,100ml shredded,100ml filamenté,0.45647
47,976,250ml diced,250ml en dés,1.39476
47,977,250ml shredded,250ml filamenté,1.14117
47,978,250ml melted,250ml fondu,2.57819
47,990,50g,50g,0.50000
47,1454,30g,30g,0.30000
48,348,100ml diced,100ml en dés,0.55790
48,368,100ml shredded,100ml filamenté,0.47760
48,976,250ml diced,250ml en dés,1.39475
48,977,250ml shredded,250ml filamenté,1.19400
48,990,50g,50g,0.50000
48,1454,30g,30g,0.30000
51,341,100ml,100ml,1.03128
51,415,250ml,250ml,2.57819
51,990,50g,50g,0.50000
51,1454,30g,30g,0.30000
52,245,1 slice,1 tranche,0.20833
52,348,100ml diced,100ml en dés,0.59172
52,368,100ml shredded,100ml filamenté,0.47760
52,990,50g,50g,0.50000
52,1454,30g,30g,0.30000
54,341,100ml,100ml,0.25359
54,385,15ml,15ml,0.03041
54,415,250ml,250ml,0.63398
54,640,60ml,60ml,0.15215
54,1467,15g,15g,0.15000
55,341,100ml,100ml,1.07354
55,383,125ml,125ml,1.34193
55,415,250ml,250ml,2.68385
55,502468,,,0.90000
56,341,100ml,100ml,1.01437
56,385,15ml,15ml,0.15216
56,415,250ml,250ml,2.53593
56,866,1 individual container,1 contenant individuel,0.15000
56,1467,15g,15g,0.15000
57,341,100ml,100ml,0.39730
57,383,125ml,125ml,0.49660
57,385,15ml,15ml,0.05960
58,341,100ml,100ml,0.33812
58,383,125ml,125ml,0.42265
58,385,15ml,15ml,0.05072
58,415,250ml,250ml,0.84531
58,1467,15g,15g,0.15000
59,341,100ml,100ml,0.29586
59,383,125ml,125ml,0.36982
59,385,15ml,15ml,0.04438
59,415,250ml,250ml,0.73964
59,640,60ml,60ml,0.17752
59,1467,15g,15g,0.15000
60,341,100ml,100ml,0.31699
60,383,125ml,125ml,0.39624
60,385,15ml,15ml,0.04755
60,415,250ml,250ml,0.79248
60,640,60ml,60ml,0.19019
60,1467,15g,15g,0.15000
61,341,100ml,100ml,1.03128
61,415,250ml,250ml,2.57819
63,341,100ml,100ml,1.03128
63,415,250ml,250ml,2.57819
66,341,100ml,100ml,0.54100
66,385,15ml,15ml,0.08115
66,415,250ml,250ml,1.35249
66,1574,25g,25g,0.25000
67,341,100ml,100ml,0.50719
67,385,15ml,15ml,0.07608
67,415,250ml,250ml,1.26796
68,341,100ml,100ml,1.29332
68,385,15ml,15ml,0.19399
68,415,250ml,250ml,3.23331
68,428,30ml,30ml,0.38797
69,341,100ml,100ml,1.05664
69,415,250ml,250ml,2.64159
70,341,100ml,100ml,1.05664
70,415,250ml,250ml,2.64159
71,341,100ml,100ml,1.05664
71,389,175ml,175ml,1.84910
71,415,250ml,250ml,2.64159
72,341,100ml,100ml,1.03128
72,415,250ml,250ml,2.57819
73,341,100ml,100ml,1.03973
73,415,250ml,250ml,2.59932
74,341,100ml,100ml,1.03550
74,415,250ml,250ml,2.58876
75,341,100ml,100ml,0.96030
75,415,250ml,250ml,2.40080
76,341,100ml,100ml,0.96030
76,415,250ml,250ml,2.40080
77,341,100ml,100ml,1.03973
77,415,250ml,250ml,2.59932
78,341,100ml,100ml,0.24091
78,385,15ml,15ml,0.03614
78,415,250ml,250ml,0.60228
79,341,100ml,100ml,1.03973
79,415,250ml,250ml,2.59932
80,341,100ml,100ml,0.61285
80,385,15ml,15ml,0.09193
80,415,250ml,250ml,1.53212
83,370,100ml sifted,100ml tamisé,0.35926
83,988,"250ml, sifted","250ml, tamisé",0.89814
83,989,"15ml, sifted","15ml, tamisé",0.05388
84,370,100ml sifted,100ml tamisé,0.35926
84,988,"250ml, sifted","250ml, tamisé",0.89814
84,989,"15ml, sifted","15ml, tamisé",0.05388
86,370,100ml sifted,100ml tamisé,0.45224
86,988,"250ml, sifted","250ml, tamisé",1.13060
87,370,100ml sifted,100ml tamisé,0.28318
87,988,"250ml, sifted","250ml, tamisé",0.70795
87,989,"15ml, sifted","15ml, tamisé",0.04248
88,90,1 egg,1 oeuf,0.70000
88,990,50g,50g,0.50000
89,90,1 egg,1 oeuf,1.44000
89,990,50g,50g,0.50000
89,1611,1/2 egg,1/2 oeuf,0.72000
90,90,1 egg,1 oeuf,0.09000
90,990,50g,50g,0.50000
90,1612,10 eggs,10 oeufs,0.90000
91,90,1 egg,1 oeuf,0.79000
91,990,50g,50g,0.50000
92,284,1 stick,1 bâtonnet,1.13500
92,341,100ml,100ml,0.95943
92,385,15ml,15ml,0.14392
92,415,250ml,250ml,2.39856
92,966,1 pat (2.54cm x 2.54cm x 0.85cm),1 carré (2.54cm x 2.54cm x 0.85cm),0.05000
92,1573,10g,10g,0.10000
93,341,100ml,100ml,0.42265
93,385,15ml,15ml,0.05068
93,415,250ml,250ml,1.05660
93,990,50g,50g,0.50000
93,1467,15g,15g,0.15000
96,344,100ml crumbled,100ml émietté,0.63400
96,415,250ml,250ml,1.58500
96,990,50g,50g,0.50000
96,1454,30g,30g,0.30000
97,344,100ml crumbled,100ml émietté,0.63400
97,415,250ml,250ml,1.58500
97,990,50g,50g,0.50000
97,1454,30g,30g,0.30000
98,344,100ml crumbled,100ml émietté,0.63400
98,415,250ml,250ml,1.58500
98,990,50g,50g,0.50000
98,1454,30g,30g,0.30000
100,341,100ml,100ml,0.90871
100,383,125ml,125ml,1.13588
100,415,250ml,250ml,2.27177
100,640,60ml,60ml,0.54523
100,990,50g,50g,0.50000
100,1455,100g,100g,1.00000
101,341,100ml,100ml,1.02705
101,415,250ml,250ml,2.56763
101,640,60ml,60ml,0.61623
102,344,100ml crumbled,100ml émietté,0.55790
102,415,250ml,250ml,1.39476
102,990,50g,50g,0.50000
102,1454,30g,30g,0.30000
103,348,100ml diced,100ml en dés,0.55790
103,368,100ml shredded,100ml filamenté,0.47760
103,990,50g,50g,0.50000
103,994,"250ml, diced","250ml, en dés",1.39476
103,995,"250ml, shredded","250ml, filamenté",1.19400
103,1454,30g,30g,0.30000
104,348,100ml diced,100ml en dés,0.55790
104,368,100ml shredded,100ml filamenté,0.47760
104,990,50g,50g,0.50000
104,994,"250ml, diced","250ml, en dés",1.39476
104,995,"250ml, shredded","250ml, filamenté",1.19400
104,1454,30g,30g,0.30000
105,348,100ml diced,100ml en dés,0.55790
105,368,100ml shredded,100ml filamenté,0.47760
105,990,50g,50g,0.50000
105,994,"250ml, diced","250ml, en dés",1.39476
105,995,"250ml, shredded","250ml, filamenté",1.19400
105,1454,30g,30g,0.30000
106,348,100ml diced,100ml en dés,0.55790
106,368,100ml shredded,100ml filamenté,0.47760
106,990,50g,50g,0.50000
106,994,"250ml, diced","250ml, en dés",1.39476
106,995,"250ml, shredded","250ml, filamenté",1.19400
106,1454,30g,30g,0.30000
107,376,100ml unpacked,100ml non pressé,0.95520
107,383,125ml,125ml,1.19399
107,983,250ml unpacked,250ml non pressé,2.38800
107,1489,125g,125g,1.25000
108,344,100ml crumbled,100ml émietté,0.63398
108,990,50g,50g,0.50000
108,997,"250ml, crumbled","250ml, émietté",1.58495
108,1454,30g,30g,0.30000
109,348,100ml diced,100ml en dés,0.55790
109,990,50g,50g,0.50000
109,994,"250ml, diced","250ml, en dés",1.39750
109,1454,30g,30g,0.30000
110,348,100ml diced,100ml en dés,0.55790
110,368,100ml shredded,100ml filamenté,0.47760
110,990,50g,50g,0.50000
110,994,"250ml, diced","250ml, en dés",1.39475
110,995,"250ml, shredded","250ml, filamenté",1.18343
110,1454,30g,30g,0.30000
111,348,100ml diced,100ml en dés,0.55790
111,368,100ml shredded,100ml filamenté,0.47760
111,990,50g,50g,0.50000
111,994,"250ml, diced","250ml, en dés",1.39476
111,995,"250ml, shredded","250ml, filamenté",1.19400
111,1454,30g,30g,0.30000
112,341,100ml,100ml,1.08199
112,383,125ml,125ml,1.33136
112,385,15ml,15ml,0.16229
112,415,250ml,250ml,2.70499
113,341,100ml,100ml,1.03128
113,415,250ml,250ml,2.57819
114,341,100ml,100ml,1.03550
114,415,250ml,250ml,2.58876
115,341,100ml,100ml,0.28940
115,383,125ml,125ml,0.35926
115,415,250ml,250ml,0.71851
115,439,5ml,5ml,0.01447
115,1574,25g,25g,0.25000
116,341,100ml,100ml,1.05664
116,383,125ml,125ml,1.32080
116,389,175ml,175ml,1.84910
116,415,250ml,250ml,2.64160
117,91,1 egg (60ml),1 oeuf (60ml),0.60862
117,341,100ml,100ml,1.01437
117,383,125ml,125ml,1.26796
117,415,250ml,250ml,2.53593
117,990,50g,50g,0.50000
117,1608,3 egg whites,3 blancs d'oeufs,0.99000
118,284,1 stick,1 bâtonnet,1.13500
118,341,100ml,100ml,0.95947
118,385,15ml,15ml,0.14392
118,415,250ml,250ml,2.39856
118,439,5ml,5ml,0.04790
118,966,1 pat (2.54cm x 2.54cm x 0.85cm),1 carré (2.54cm x 2.54cm x 0.85cm),0.05000
118,1573,10g,10g,0.10000
119,348,100ml diced,100ml en dés,0.55790
119,358,100ml melted,100ml fondu,1.03128
119,368,100ml shredded,100ml filamenté,0.47760
119,990,50g,50g,0.50000
119,994,"250ml, diced","250ml, en dés",1.39476
119,995,"250ml, shredded","250ml, filamenté",1.19400
119,996,"250ml, melted","250ml, fondu",2.57819
119,1454,30g,30g,0.30000
120,376,100ml unpacked,100ml non pressé,0.95520
120,383,125ml,125ml,1.19399
120,983,250ml unpacked,250ml non pressé,2.38800
120,1489,125g,125g,1.25000
122,341,100ml,100ml,0.39730
122,385,15ml,15ml,0.05959
122,439,5ml,5ml,0.01987
122,801,1 packet (individual),1 paquet (individuel),0.03000
122,1576,2g,2g,0.02000
123,341,100ml,100ml,1.03128
123,415,250ml,250ml,2.57819
124,341,100ml,100ml,1.03550
124,415,250ml,250ml,2.58876
125,142,1 large egg,1 gros oeuf,0.52680
125,341,100ml,100ml,1.02705
125,383,125ml,125ml,1.28381
125,415,250ml,250ml,2.56762
125,556,1 small egg,1 petit oeuf,0.41580
125,941,1 extra large egg,1 oeuf extra gros,0.58130
125,942,1 medium egg,1 oeuf moyen,0.46390
125,990,50g,50g,0.50000
125,992,1 jumbo egg,1 oeuf jumbo,0.64820
125,1609,2 large eggs,2 oeufs (gros),1.05360
125,1672,1 pee wee egg,1 très petit oeuf,0.33490
126,142,1 large egg,1 gros oeuf,0.33000
126,341,100ml,100ml,1.02705
126,383,125ml,125ml,1.28381
126,415,250ml,250ml,2.56763
126,556,1 small egg,1 petit oeuf,0.28770
126,941,1 extra large egg,1 oeuf extra gros,0.39880
126,942,1 medium egg,1 oeuf moyen,0.32370
126,990,50g,50g,0.50000
126,992,1 jumbo egg,1 oeuf jumbo,0.46260
126,1608,3 egg whites,3 blancs d'oeufs,0.99000
126,1672,1 pee wee egg,1 très petit oeuf,0.23800
127,142,1 large egg,1 gros oeuf,0.16140
127,341,100ml,100ml,1.02705
127,383,125ml,125ml,1.28381
127,415,250ml,250ml,2.56763
127,556,1 small egg,1 petit oeuf,0.12810
127,941,1 extra large egg,1 oeuf extra gros,0.18250
127,942,1 medium egg,1 oeuf moyen,0.14020
127,990,50g,50g,0.50000
127,992,1 jumbo egg,1 oeuf jumbo,0.18560
127,1610,4 egg yolks,4  jaunes d'oeufs,0.68000
127,1672,1 pee wee egg,1 très petit oeuf,0.09690
127,502452,2 egg yolks,2 jaunes d'oeufs,0.25000
129,142,1 large egg,1 gros oeuf,0.46000
129,556,1 small egg,1 petit oeuf,0.35000
129,990,50g,50g,0.50000
129,1609,2 large eggs,2 oeufs (gros),0.92000
130,142,1 large egg,1 gros oeuf,0.50000
130,343,100ml chopped,100ml haché,0.57481
130,385,15ml,15ml,0.08615
130,990,50g,50g,0.50000
130,991,"250ml, chopped","250ml, haché",1.43703
130,1609,2 large eggs,2 oeufs (gros),1.00000
132,142,1 large egg,1 gros oeuf,0.50000
132,556,1 small egg,1 petit oeuf,0.38000
132,990,50g,50g,0.50000
132,1609,2 large eggs,2 oeufs (gros),1.00000
133,142,1 large egg,1 gros oeuf,0.61000
133,341,100ml,100ml,0.92984
133,415,250ml,250ml,2.32459
133,556,1 small egg,1 petit oeuf,0.48000
133,1482,110g,110g,1.10000
133,1609,2 large eggs,2 oeufs (gros),1.22000
134,341,100ml,100ml,0.50719
134,383,125ml,125ml,0.63398
134,415,250ml,250ml,1.26796
134,1574,25g,25g,0.25000
136,341,100ml,100ml,1.01437
136,383,125ml,125ml,1.26796
136,385,15ml,15ml,0.15216
136,415,250ml,250ml,2.53593
136,998,1 creamer,1 godelet,0.11100
137,341,100ml,100ml,1.01014
137,378,100ml whipped,100ml fouetté,0.50507
137,385,15ml,15ml,0.15152
137,999,250ml whipped,250ml fouetté,1.26796
137,1000,250ml fluid (yields 2 cups whipped),250ml liquide (donne 2 tasses fouettée),2.52536
137,1467,15g,15g,0.15000
138,341,100ml,100ml,1.00592
138,378,100ml whipped,100ml fouetté,0.50719
138,385,15ml,15ml,0.15088
138,999,250ml whipped,250ml fouetté,1.26796
138,1000,250ml fluid (yields 2 cups whipped),250ml liquide (donne 2 tasses fouettée),2.51479
138,1467,15g,15g,0.15000
139,341,100ml,100ml,0.97210
139,383,125ml,125ml,1.21513
139,385,15ml,15ml,0.14582
139,415,250ml,250ml,2.43026
139,428,30ml,30ml,0.29164
140,341,100ml,100ml,1.06509
140,383,125ml,125ml,1.33136
140,385,15ml,15ml,0.15976
140,415,250ml,250ml,2.66272
147,376,100ml unpacked,100ml non pressé,0.95520
147,383,125ml,125ml,1.19399
147,983,250ml unpacked,250ml non pressé,1.53212
147,1489,125g,125g,1.25000
150,341,100ml,100ml,1.02282
150,383,125ml,125ml,1.27852
150,385,15ml,15ml,0.15342
150,415,250ml,250ml,2.55706
150,998,1 creamer,1 godelet,0.15000
151,341,100ml,100ml,1.01437
151,383,125ml,125ml,1.26796
151,385,15ml,15ml,0.15215
151,415,250ml,250ml,2.53593
151,998,1 creamer,1 godelet,0.11100
152,341,100ml,100ml,0.97210
152,383,125ml,125ml,1.21513
152,385,15ml,15ml,0.14582
152,415,250ml,250ml,2.43026
152,428,30ml,30ml,0.29164
153,341,100ml,100ml,1.06509
153,383,125ml,125ml,1.33136
153,385,15ml,15ml,0.15976
153,415,250ml,250ml,2.66272
160,348,100ml diced,100ml en dés,0.55790
160,368,100ml shredded,100ml filamenté,0.45647
160,976,250ml diced,250ml en dés,1.39475
160,977,250ml shredded,250ml filamenté,1.14118
160,990,50g,50g,0.50000
160,1454,30g,30g,0.30000
163,341,100ml,100ml,1.01437
163,383,125ml,125ml,1.26797
163,385,15ml,15ml,0.15215
163,415,250ml,250ml,2.53593
163,998,1 creamer,1 godelet,0.11100
164,341,100ml,100ml,0.73542
164,383,125ml,125ml,0.91927
164,415,250ml,250ml,1.83855
164,987,175g,175g,1.75000
169,385,15ml,15ml,0.06081
169,439,5ml,5ml,0.01939
169,1484,0.5g,0.5g,0.00500
170,385,15ml,15ml,0.06791
170,439,5ml,5ml,0.02143
170,1484,0.5g,0.5g,0.00500
171,962,"5ml, ground","5ml, moulu",0.01429
171,963,"15ml, ground","15ml, moulu",0.04561
171,964,"5ml, leaves","5ml, feuilles",0.00714
171,965,"15ml, leaves","15ml, feuilles",0.02128
171,1484,0.5g,0.5g,0.00500
172,1001,5ml crumbled,5ml émietté,0.00612
172,1002,15ml crumbled,15ml émietté,0.01824
172,1484,0.5g,0.5g,0.00500
173,385,15ml,15ml,0.06791
173,439,5ml,5ml,0.02143
173,1484,0.5g,0.5g,0.00500
174,385,15ml,15ml,0.05878
174,439,5ml,5ml,0.02041
174,1484,0.5g,0.5g,0.00500
175,385,15ml,15ml,0.06588
175,439,5ml,5ml,0.02041
175,1484,0.5g,0.5g,0.00500
176,385,15ml,15ml,0.01926
176,439,5ml,5ml,0.00612
176,1484,0.5g,0.5g,0.00500
177,385,15ml,15ml,0.07601
177,439,5ml,5ml,0.02653
177,1484,0.5g,0.5g,0.00500
178,385,15ml,15ml,0.06892
178,439,5ml,5ml,0.02347
178,1484,0.5g,0.5g,0.00500
179,341,100ml,100ml,0.43958
179,385,15ml,15ml,0.06594
179,439,5ml,5ml,0.02198
179,1484,0.5g,0.5g,0.00500
180,385,15ml,15ml,0.01824
180,439,5ml,5ml,0.00612
180,1484,0.5g,0.5g,0.00500
181,385,15ml,15ml,0.05068
181,439,5ml,5ml,0.01837
181,1484,0.5g,0.5g,0.00500
182,385,15ml,15ml,0.06081
182,439,5ml,5ml,0.02143
182,1484,0.5g,0.5g,0.00500
183,385,15ml,15ml,0.06385
183,439,5ml,5ml,0.02041
183,1484,0.5g,0.5g,0.00500
184,385,15ml,15ml,0.06689
184,439,5ml,5ml,0.02143
184,1484,0.5g,0.5g,0.00500
185,385,15ml,15ml,0.03142
185,439,5ml,5ml,0.01020
185,1484,0.5g,0.5g,0.00500
186,385,15ml,15ml,0.05878
186,439,5ml,5ml,0.02041
186,1484,0.5g,0.5g,0.00500
187,385,15ml,15ml,0.11250
187,439,5ml,5ml,0.03776
187,1484,0.5g,0.5g,0.00500
188,385,15ml,15ml,0.08514
188,439,5ml,5ml,0.02857
188,1484,0.5g,0.5g,0.00500
189,385,15ml,15ml,0.05473
189,439,5ml,5ml,0.01837
189,1484,0.5g,0.5g,0.00500
190,385,15ml,15ml,0.05372
190,439,5ml,5ml,0.01735
190,1484,0.5g,0.5g,0.00500
191,385,15ml,15ml,0.01723
191,439,5ml,5ml,0.00612
191,1484,0.5g,0.5g,0.00500
192,385,15ml,15ml,0.11351
192,439,5ml,5ml,0.03367
192,1484,0.5g,0.5g,0.00500
193,385,15ml,15ml,0.07095
193,439,5ml,5ml,0.02245
193,1484,0.5g,0.5g,0.00500
194,385,15ml,15ml,0.06993
194,439,5ml,5ml,0.02449
194,1484,0.5g,0.5g,0.00500
195,385,15ml,15ml,0.04561
195,439,5ml,5ml,0.01531
195,1484,0.5g,0.5g,0.00500
196,385,15ml,15ml,0.06993
196,439,5ml,5ml,0.02143
196,1484,0.5g,0.5g,0.00500
197,385,15ml,15ml,0.01318
197,439,5ml,5ml,0.00306
197,1484,0.5g,0.5g,0.00500
198,379,100ml whole,100ml entier,0.58835
198,1005,1 dash,1 pincée,0.00100
198,1484,0.5g,0.5g,0.00500
198,1641,15ml ground,15ml moulu,0.06999
198,502517,15ml whole,15ml entier,0.08825
198,502598,5 ml ground,5 ml moulu,0.02333
198,502599,5ml whole,5ml entier,0.02942
199,385,15ml,15ml,0.05372
199,439,5ml,5ml,0.01837
199,1484,0.5g,0.5g,0.00500
200,385,15ml,15ml,0.07196
200,439,5ml,5ml,0.02449
200,1484,0.5g,0.5g,0.00500
201,385,15ml,15ml,0.08919
201,439,5ml,5ml,0.02857
201,1484,0.5g,0.5g,0.00500
202,385,15ml,15ml,0.03750
202,439,5ml,5ml,0.01531
202,1484,0.5g,0.5g,0.00500
203,385,15ml,15ml,0.05676
203,439,5ml,5ml,0.01735
203,1484,0.5g,0.5g,0.00500
204,385,15ml,15ml,0.03345
204,439,5ml,5ml,0.01224
204,1484,0.5g,0.5g,0.00500
205,385,15ml,15ml,0.02128
205,439,5ml,5ml,0.00714
205,1484,0.5g,0.5g,0.00500
206,385,15ml,15ml,0.02027
206,439,5ml,5ml,0.00714
206,1484,0.5g,0.5g,0.00500
207,385,15ml,15ml,0.04459
207,439,5ml,5ml,0.01429
207,1484,0.5g,0.5g,0.00500
209,962,"5ml, ground","5ml, moulu",0.01633
209,963,"15ml, ground","15ml, moulu",0.04865
209,964,"5ml, leaves","5ml, feuilles",0.00612
209,965,"15ml, leaves","15ml, feuilles",0.01824
209,1484,0.5g,0.5g,0.00500
210,962,"5ml, ground","5ml, moulu",0.01429
210,963,"15ml, ground","15ml, moulu",0.04358
210,964,"5ml, leaves","5ml, feuilles",0.01020
210,965,"15ml, leaves","15ml, feuilles",0.02737
210,1484,0.5g,0.5g,0.00500
211,385,15ml,15ml,0.06892
211,439,5ml,5ml,0.02245
211,1484,0.5g,0.5g,0.00500
212,428,30ml,30ml,0.03043
212,436,5 leaves,5 feuilles,0.02500
212,1484,0.5g,0.5g,0.00500
213,635,5 sprigs,5 branches,0.01000
213,1003,250ml sprigs,250ml branches,0.09404
213,1004,100ml sprigs,100ml branches,0.03762
213,1484,0.5g,0.5g,0.00500
214,385,15ml,15ml,0.18243
214,415,250ml,250ml,3.08538
214,439,5ml,5ml,0.06122
214,1005,1 dash,1 pincée,0.00400
214,1578,1g,1g,0.01000
215,148,1 leaf,1 feuille,0.04000
215,385,15ml,15ml,0.02449
215,439,5ml,5ml,0.00816
215,1484,0.5g,0.5g,0.00500
216,341,100ml,100ml,0.87838
216,385,15ml,15ml,0.13176
216,415,250ml,250ml,2.19780
216,439,5ml,5ml,0.04286
217,341,100ml,100ml,0.87838
217,385,15ml,15ml,0.13176
217,415,250ml,250ml,2.19780
217,439,5ml,5ml,0.04286
218,341,100ml,100ml,0.87838
218,385,15ml,15ml,0.13176
218,415,250ml,250ml,2.19780
218,439,5ml,5ml,0.04286
219,867,1 serving,1 portion,0.20000
219,1601,45g,45g,0.45000
232,49,1 cookie,1 biscuit,0.16810
283,341,100ml,100ml,0.46700
283,383,125ml,125ml,0.58380
283,385,15ml,15ml,0.07000
285,341,100ml,100ml,0.46150
285,383,125ml,125ml,0.57680
