FoodID,MeasureID,MeasureDescription,MeasureDescriptionF,ConversionFactorValue
1635,415,250ml,250ml,2.76839
1635,959,1/2 fruit + liquid,1/2 fruit + liquide,0.98000
1636,388,150ml,150ml,1.66103
1636,959,1/2 fruit + liquid,1/2 fruit + liquide,0.98000
1636,1064,100ml halves or slices,100ml moitiés ou tranches,1.10735
1636,1065,125ml halves or slices,125ml moitiés ou tranches,1.38419
1636,1066,250ml halves or slices,250ml moitiés ou tranches,2.76839
1637,379,100ml whole,100ml entier,1.02282
1637,388,150ml,150ml,1.53424
1637,1011,125ml whole,125ml entier,1.27853
1637,1012,250ml whole,250ml entier,2.55706
1638,341,100ml,100ml,0.49028
1638,383,125ml,125ml,0.61285
1638,415,250ml,250ml,1.22570
1638,640,60ml,60ml,0.29417
1638,1456,40g,40g,0.40000
1639,341,100ml,100ml,1.02282
1639,383,125ml,125ml,1.27853
1639,415,250ml,250ml,2.55706
1639,641,75ml,75ml,0.76712
1639,1456,40g,40g,0.40000
1640,334,10 halves,10 moities,1.30000
1640,354,100ml halves,100ml moitiés,0.67625
1640,1007,125ml halves,125ml moitiés,0.84531
1640,1010,250ml halves,250ml moitiés,1.69062
1640,1068,2 halves,2 moitiés,0.26000
1640,1456,40g,40g,0.40000
1641,341,100ml,100ml,1.09045
1641,383,125ml,125ml,1.36306
1641,415,250ml,250ml,2.72612
1641,640,60ml,60ml,0.65427
1641,641,75ml,75ml,0.81784
1642,341,100ml,100ml,1.14117
1642,383,125ml,125ml,1.42646
1642,415,250ml,250ml,2.85292
1642,640,60ml,60ml,0.68470
1642,641,75ml,75ml,0.85587
1643,704,10 slices,10 tranches,1.55000
1643,1020,125ml thawed,125ml dégelé,1.32079
1643,1021,250ml thawed,250ml dégelé,2.64159
1643,1022,100ml thawed,100ml dégelé,1.05664
1643,1457,140g,140g,1.40000
1644,341,100ml,100ml,1.05241
1644,383,125ml,125ml,1.31551
1644,415,250ml,250ml,2.63102
1645,354,100ml halves,100ml moitiés,1.04818
1645,388,150ml,150ml,1.57228
1645,959,1/2 fruit + liquid,1/2 fruit + liquide,0.76000
1645,1007,125ml halves,125ml moitiés,1.31023
1645,1010,250ml halves,250ml moitiés,2.62046
1646,354,100ml halves,100ml moitiés,1.04396
1646,388,150ml,150ml,1.56594
1646,415,250ml,250ml,2.60989
1646,959,1/2 fruit + liquid,1/2 fruit + liquide,0.76000
1646,1007,125ml halves,125ml moitiés,1.30495
1647,341,100ml,100ml,1.12426
1647,383,125ml,125ml,1.40533
1647,388,150ml,150ml,1.68640
1647,415,250ml,250ml,2.81065
1647,959,1/2 fruit + liquid,1/2 fruit + liquide,0.76000
1648,354,100ml halves,100ml moitiés,1.12426
1648,388,150ml,150ml,1.68639
1648,959,1/2 fruit + liquid,1/2 fruit + liquide,0.79000
1648,1007,125ml halves,125ml moitiés,1.40533
1648,1010,250ml halves,250ml moitiés,2.81065
1649,334,10 halves,10 moities,1.75000
1649,354,100ml halves,100ml moitiés,0.76078
1649,1007,125ml halves,125ml moitiés,0.95097
1649,1010,250ml halves,250ml moitiés,1.90194
1649,1068,2 halves,2 moitiés,0.35000
1649,1456,40g,40g,0.40000
